index,x,y,z,length,width,height
1,0,0,0,80,100,80
2,80,0,0,80,100,80
3,160,0,0,80,100,80
4,240,0,0,80,100,80
5,320,0,0,80,100,80
6,400,0,0,80,100,80
7,0,0,80,100,80,80
8,0,100,0,80,100,80
9,0,200,0,80,100,80
10,0,300,0,80,100,80
11,0,80,80,60,80,60
12,0,160,80,60,80,60
13,0,240,80,60,80,60
14,0,320,80,60,80,60
15,100,0,80,60,80,60
16,80,100,0,60,80,60
17,80,180,0,60,80,60
18,80,260,0,60,80,60
19,80,100,60,60,80,60
20,80,180,60,60,80,60
21,80,260,60,60,80,60
22,160,0,80,60,80,60
23,140,100,0,60,80,60
24,140,180,0,60,80,60
25,140,260,0,60,80,60
26,140,100,60,60,80,60
27,140,180,60,60,80,60
28,140,260,60,60,80,60
29,220,0,80,60,80,60
30,200,100,0,60,80,60
31,200,180,0,60,80,60
32,200,260,0,60,80,60
33,200,100,60,60,80,60
34,200,180,60,60,80,60
35,200,260,60,60,80,60
36,280,0,80,60,80,60
37,260,100,0,60,80,60
38,260,180,0,60,80,60
39,260,260,0,60,80,60
40,260,100,60,60,80,60
41,80,340,0,60,60,60
42,140,340,0,60,60,60
43,200,340,0,60,60,60
44,260,340,0,60,60,60
45,80,340,60,60,60,60
46,140,340,60,60,60,60
47,200,340,60,60,60,60
48,260,180,60,60,60,60
49,260,240,60,60,60,60
50,260,300,60,60,60,60
51,340,0,80,60,60,60
52,320,100,0,60,60,60
53,320,160,0,60,60,60
54,320,220,0,60,60,60
55,320,280,0,60,60,60
56,320,340,0,60,60,60
57,320,100,60,60,60,60
58,320,160,60,60,60,60
59,320,220,60,60,60,60
60,320,280,60,60,60,60
61,320,340,60,60,60,60
62,400,0,80,60,60,60
63,380,100,0,60,60,60
64,380,160,0,60,60,60
65,380,220,0,60,60,60
66,380,280,0,60,60,60
67,380,340,0,60,60,60
68,380,100,60,60,60,60
69,380,160,60,60,60,60
70,380,220,60,60,60,60
71,380,280,60,60,60,60
72,380,340,60,60,60,60
73,0,0,160,60,60,60
74,60,0,160,60,60,60
75,0,80,140,60,60,60
76,0,140,140,60,60,60
77,0,200,140,60,60,60
78,0,260,140,60,60,60
79,0,320,140,60,60,60
80,120,0,140,60,60,60
81,60,80,120,60,60,60
82,60,140,120,60,60,60
83,60,200,120,60,60,60
84,60,260,120,60,60,60
85,60,320,120,60,60,60
86,180,0,140,60,60,60
87,120,80,120,60,60,60
88,120,140,120,60,60,60
89,120,200,120,60,60,60
90,120,260,120,60,60,60
91,120,320,120,60,60,60
92,240,0,140,60,60,60
93,180,80,120,60,60,60
94,180,140,120,60,60,60
95,180,200,120,60,60,60
96,180,260,120,60,60,60
97,180,320,120,60,60,60
98,300,0,140,60,60,60
99,240,80,120,60,60,60
100,240,140,120,60,60,60
101,240,200,120,60,60,60
102,240,260,120,60,60,60
103,240,320,120,60,60,60
104,360,0,140,60,60,60
105,300,80,120,60,60,60
106,300,140,120,60,60,60
107,300,200,120,60,60,60
108,300,260,120,60,60,60
109,300,320,120,60,60,60
110,420,0,140,60,60,60
111,360,60,120,60,60,60
112,360,120,120,60,60,60
113,360,180,120,60,60,60
114,360,240,120,60,60,60
115,360,300,120,60,60,60
116,420,60,120,60,60,60
117,420,120,120,60,60,60
118,420,180,120,60,60,60
119,420,240,120,60,60,60
120,420,300,120,60,60,60
121,0,0,220,60,60,60
122,60,0,220,60,60,60
123,0,60,200,60,60,60
124,0,120,200,60,60,60
125,0,180,200,60,60,60
126,0,240,200,60,60,60
127,0,300,200,60,60,60
128,120,0,200,60,60,60
129,60,60,180,60,60,60
130,60,120,180,60,60,60
131,60,180,180,60,60,60
132,60,240,180,60,60,60
133,60,300,180,60,60,60
134,180,0,200,60,60,60
135,120,60,180,60,60,60
136,120,120,180,60,60,60
137,120,180,180,60,60,60
138,120,240,180,60,60,60
139,120,300,180,60,60,60
140,240,0,200,60,60,60
141,180,60,180,60,60,60
142,180,120,180,60,60,60
143,180,180,180,60,60,60
144,180,240,180,60,60,60
145,180,300,180,60,60,60
146,300,0,200,60,60,60
147,240,60,180,60,60,60
148,240,120,180,60,60,60
149,240,180,180,60,60,60
150,240,240,180,60,60,60
151,240,300,180,60,60,60
152,360,0,200,60,60,60
153,300,60,180,60,60,60
154,300,120,180,60,60,60
155,300,180,180,60,60,60
156,300,240,180,60,60,60
157,300,300,180,60,60,60
158,420,0,200,60,60,60
159,360,60,180,60,60,60
160,360,120,180,60,60,60
161,360,180,180,60,60,60
162,360,240,180,60,60,60
163,360,300,180,60,60,60
164,420,60,180,60,60,60
165,420,120,180,60,60,60
166,420,180,180,60,60,60
167,420,240,180,60,60,60
168,420,300,180,60,60,60
